"YearStart","LocationAbbr","Class","Data_Value","Data_Value_Alt","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Age(years)","Education","Gender","Income","Race/Ethnicity","GeoLocation","ClassID","TopicID","QuestionID","StratificationCategory1","Stratification1","StratificationCategoryId1","StratificationID1","Number_people"
2011,"AK","Obesity / Weight Status",38.9,38.9,33.6,44.4,559,"35 - 44",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q037","Age (years)","35 - 44","AGEYR","AGEYR3544",218
2011,"AK","Obesity / Weight Status",38.9,38.9,34.4,43.6,773,"55 - 64",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q037","Age (years)","55 - 64","AGEYR","AGEYR5564",301
2011,"AK","Obesity / Weight Status",32,32,24.7,40.4,212,"18 - 24",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q037","Age (years)","18 - 24","AGEYR","AGEYR1824",68
2011,"AK","Obesity / Weight Status",43.3,43.3,38.5,48.1,718,"45 - 54",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q037","Age (years)","45 - 54","AGEYR","AGEYR4554",311
2011,"AK","Obesity / Weight Status",40.9,40.9,35.2,47,600,"65 or older",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q037","Age (years)","65 or older","AGEYR","AGEYR65PLUS",246
2011,"AK","Obesity / Weight Status",38.7,38.7,32.7,45.2,451,"25 - 34",NA,NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q037","Age (years)","25 - 34","AGEYR","AGEYR2534",175
2011,"AK","Obesity / Weight Status",38,38,33.6,42.6,981,NA,"High school graduate",NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q037","Education","High school graduate","EDU","EDUHSGRAD",373
2011,"AK","Obesity / Weight Status",39.9,39.9,36,43.9,1150,NA,"College graduate",NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q037","Education","College graduate","EDU","EDUCOGRAD",459
2011,"AK","Obesity / Weight Status",40.1,40.1,35.9,44.5,954,NA,"Some college or technical school",NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q037","Education","Some college or technical school","EDU","EDUCOTEC",383
2011,"AK","Obesity / Weight Status",35.3,35.3,27.3,44.4,245,NA,"Less than high school",NA,NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q037","Education","Less than high school","EDU","EDUHS",87
2011,"AK","Obesity / Weight Status",31.3,31.3,28.1,34.6,1716,NA,NA,"Female",NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q037","Gender","Female","GEN","FEMALE",538
2011,"AK","Obesity / Weight Status",45.3,45.3,41.8,48.9,1620,NA,NA,"Male",NA,NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q037","Gender","Male","GEN","MALE",734
2011,"AK","Obesity / Weight Status",33.5,33.5,26.2,41.7,377,NA,NA,NA,"$15,000 - $24,999",NA,"(64.845079957001, -147.722059036)","OWS","OWS1","Q037","Income","$15,000 - $24,999","INC","INC1525",127
